,Config,Filename,Model,Name,Species,Citations
249,"['pair_style meam\n', 'pair_coeff * * Nouranian_CH_library.meam C H Nouranian_CH.meam C H\n']","['potential_LAMMPS/2014--Nouranian-S--CH--ipr1/Nouranian_CH_library.meam', 'potential_LAMMPS/2014--Nouranian-S--CH--ipr1/Nouranian_CH.meam']",NISTiprpy,2014--Nouranian-S--CH--ipr1,"['C', 'H']","[{'Nouranian_2014': {'title': 'An interatomic potential for saturated hydrocarbons based on the modified embedded-atom method', 'journal': 'Physical Chemistry Chemical Physics', 'volume': '16', 'pages': '6233--6249', 'number': '13', 'doi': '10.1039/c4cp00027g', 'publisher': 'Royal Society of Chemistry (RSC)', 'url': 'https://doi.org/10.1039%2Fc4cp00027g', 'year': '2014', 'author': ['S. Nouranian', 'M. A. Tschopp', 'S. R. Gwaltney', 'M. I. Baskes', 'M. F. Horstemeyer']}}]"
250,"['pair_style bop\n', 'pair_coeff * * CdTeSe.bop.table Cd Te Se\n', 'comm_modify cutoff 14.7\n']",['potential_LAMMPS/2014--Zhou-X-W--Cd-Te-Se--LAMMPS--ipr1/CdTeSe.bop.table'],NISTiprpy,2014--Zhou-X-W--Cd-Te-Se--LAMMPS--ipr1,"['Cd', 'Te', 'Se']","[{'Zhou_2014': {'title': 'Analytical Bond-Order Potential for the Cd-Te-Se Ternary System', 'journal': 'The Journal of Physical Chemistry C', 'volume': '118', 'pages': '20661--20679', 'number': '35', 'doi': '10.1021/jp505915u', 'publisher': 'American Chemical Society (ACS)', 'url': 'https://doi.org/10.1021%2Fjp505915u', 'year': '2014', 'author': ['X. W. Zhou', 'M. E. Foster', 'F. B. van Swol', 'J. E. Martin', 'Bryan M. Wong']}}]"
251,"['pair_style meam\n', 'pair_coeff * * library.Cu.meam Cu Cu.meam Cu\n']","['potential_LAMMPS/2015--Asadi-E--Cu--LAMMPS--ipr1/library.Cu.meam', 'potential_LAMMPS/2015--Asadi-E--Cu--LAMMPS--ipr1/Cu.meam']",NISTiprpy,2015--Asadi-E--Cu--LAMMPS--ipr1,['Cu'],"[{'Asadi_2015': {'title': 'Two-phase solid-liquid coexistence of Ni, Cu, and Al by molecular dynamics simulations using the modified embedded-atom method', 'journal': 'Acta Materialia', 'volume': '86', 'pages': '169--181', 'doi': '10.1016/j.actamat.2014.12.010', 'publisher': 'Elsevier BV', 'url': 'https://doi.org/10.1016%2Fj.actamat.2014.12.010', 'year': '2015', 'author': ['Ebrahim Asadi', 'M. Asle Zaeem', 'Sasan Nouranian', 'Michael I. Baskes']}}]"
252,"['pair_style meam\n', 'pair_coeff * * library.Fe.meam Fe Fe.meam Fe\n']","['potential_LAMMPS/2015--Asadi-E--Fe--LAMMPS--ipr1/library.Fe.meam', 'potential_LAMMPS/2015--Asadi-E--Fe--LAMMPS--ipr1/Fe.meam']",NISTiprpy,2015--Asadi-E--Fe--LAMMPS--ipr1,['Fe'],"[{'Asadi_2015': {'title': 'Quantitative modeling of the equilibration of two-phase solid-liquid Fe by atomistic simulations on diffusive time scales', 'journal': 'Physical Review B', 'volume': '91', 'pages': '024105', 'number': '2', 'doi': '10.1103/physrevb.91.024105', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.91.024105', 'year': '2015', 'author': ['Ebrahim Asadi', 'M. Asle Zaeem', 'Sasan Nouranian', 'Michael I. Baskes']}}]"
253,"['pair_style meam\n', 'pair_coeff * * library.Ni.meam Ni Ni.meam Ni\n']","['potential_LAMMPS/2015--Asadi-E--Ni--LAMMPS--ipr1/library.Ni.meam', 'potential_LAMMPS/2015--Asadi-E--Ni--LAMMPS--ipr1/Ni.meam']",NISTiprpy,2015--Asadi-E--Ni--LAMMPS--ipr1,['Ni'],"[{'Asadi_2015': {'title': 'Two-phase solid-liquid coexistence of Ni, Cu, and Al by molecular dynamics simulations using the modified embedded-atom method', 'journal': 'Acta Materialia', 'volume': '86', 'pages': '169--181', 'doi': '10.1016/j.actamat.2014.12.010', 'publisher': 'Elsevier BV', 'url': 'https://doi.org/10.1016%2Fj.actamat.2014.12.010', 'year': '2015', 'author': ['Ebrahim Asadi', 'M. Asle Zaeem', 'Sasan Nouranian', 'Michael I. Baskes']}}]"
254,"['pair_style eam/fs\n', 'pair_coeff * * MCu1_MendelevM_2014.eam.fs Cu\n']",['potential_LAMMPS/2015--Borovikov-V--fictional-Cu-1--LAMMPS--ipr1/MCu1_MendelevM_2014.eam.fs'],NISTiprpy,2015--Borovikov-V--fictional-Cu-1--LAMMPS--ipr1,['Cu'],"[{'Borovikov_2015': {'title': 'Effect of stacking fault energy on mechanism of plastic deformation in nanotwinned FCC metals', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '23', 'pages': '055003', 'number': '5', 'doi': '10.1088/0965-0393/23/5/055003', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F23%2F5%2F055003', 'year': '2015', 'author': ['Valery Borovikov', 'Mikhail I Mendelev', 'Alexander H King', 'Richard LeSar']}}]"
255,"['pair_style eam/fs\n', 'pair_coeff * * MCu2_MendelevM_2014.eam.fs Cu\n']",['potential_LAMMPS/2015--Borovikov-V--fictional-Cu-2--LAMMPS--ipr1/MCu2_MendelevM_2014.eam.fs'],NISTiprpy,2015--Borovikov-V--fictional-Cu-2--LAMMPS--ipr1,['Cu'],"[{'Borovikov_2015': {'title': 'Effect of stacking fault energy on mechanism of plastic deformation in nanotwinned FCC metals', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '23', 'pages': '055003', 'number': '5', 'doi': '10.1088/0965-0393/23/5/055003', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F23%2F5%2F055003', 'year': '2015', 'author': ['Valery Borovikov', 'Mikhail I Mendelev', 'Alexander H King', 'Richard LeSar']}}]"
256,"['pair_style eam/fs\n', 'pair_coeff * * MCu3_MendelevM_2014.eam.fs Cu\n']",['potential_LAMMPS/2015--Borovikov-V--fictional-Cu-3--LAMMPS--ipr1/MCu3_MendelevM_2014.eam.fs'],NISTiprpy,2015--Borovikov-V--fictional-Cu-3--LAMMPS--ipr1,['Cu'],"[{'Borovikov_2015': {'title': 'Effect of stacking fault energy on mechanism of plastic deformation in nanotwinned FCC metals', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '23', 'pages': '055003', 'number': '5', 'doi': '10.1088/0965-0393/23/5/055003', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F23%2F5%2F055003', 'year': '2015', 'author': ['Valery Borovikov', 'Mikhail I Mendelev', 'Alexander H King', 'Richard LeSar']}}]"
257,"['pair_style eam/fs\n', 'pair_coeff * * MCu4_MendelevM_2014.eam.fs Cu\n']",['potential_LAMMPS/2015--Borovikov-V--fictional-Cu-4--LAMMPS--ipr1/MCu4_MendelevM_2014.eam.fs'],NISTiprpy,2015--Borovikov-V--fictional-Cu-4--LAMMPS--ipr1,['Cu'],"[{'Borovikov_2015': {'title': 'Effect of stacking fault energy on mechanism of plastic deformation in nanotwinned FCC metals', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '23', 'pages': '055003', 'number': '5', 'doi': '10.1088/0965-0393/23/5/055003', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F23%2F5%2F055003', 'year': '2015', 'author': ['Valery Borovikov', 'Mikhail I Mendelev', 'Alexander H King', 'Richard LeSar']}}]"
258,"['pair_style eam/fs\n', 'pair_coeff * * MCu5_MendelevM_2014.eam.fs Cu\n']",['potential_LAMMPS/2015--Borovikov-V--fictional-Cu-5--LAMMPS--ipr1/MCu5_MendelevM_2014.eam.fs'],NISTiprpy,2015--Borovikov-V--fictional-Cu-5--LAMMPS--ipr1,['Cu'],"[{'Borovikov_2015': {'title': 'Effect of stacking fault energy on mechanism of plastic deformation in nanotwinned FCC metals', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '23', 'pages': '055003', 'number': '5', 'doi': '10.1088/0965-0393/23/5/055003', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F23%2F5%2F055003', 'year': '2015', 'author': ['Valery Borovikov', 'Mikhail I Mendelev', 'Alexander H King', 'Richard LeSar']}}]"
